ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Scapa 8 Year Old,550.0,75,0.57,733.33 per litre
 Bruichladdich 27 Year Old,565.0,70,0.5,807.14 per litre
Ardbeg 17 Year Old,600.0,70,0.4,857.14 per litre
 Dalmore 12 Year Old,600.0,75,0.43,800 per litre
 Dufftown-Glenlivet 8 Year Old,600.0,75,0.46,800 per litre
 Glen Grant 15 Year Old,600.0,75,0.57,800 per litre
Glenmorangie Original 1974,600.0,50,0.43,"1,200 per litre"
 Glenmorangie 1979,600.0,70,0.4,857.14 per litre
 Glenmorangie Port Wood,600.0,70,0.47,857.14 per litre
 Littlemill 1985,600.0,70,0.4,857.14 per litre
 Springbank 12 Year Old,600.0,75,0.43,800 per litre
Lagavulin 1990 Distillers Edition,600.0,70,0.43,857.14 per litre
 Glenfarclas 15 Year Old,600.0,75,0.46,800 per litre
 Bowmore 10 Year Old,600.0,75,0.4,800 per litre
 Glenfarclas 8 Year Old,600.0,75,0.6,800 per litre
 Glenlivet 8 Year Old,600.0,75,0.46,800 per litre
 Glenesk 1974,600.0,70,0.53,857.14 per litre
 Glencadam 12 Year Old,600.0,75,0.4,800 per litre
 Glenlossie 1984,600.0,70,0.59,857.14 per litre
 Glenesk 1974,600.0,70,0.53,857.14 per litre
 Highland Park Loki,600.0,70,0.49,857.14 per litre
 Glenfarclas 25 Year Old,600.0,70,0.42,857.14 per litre
 Glenfarclas 15 Year Old,600.0,75,0.46,800 per litre
 Laphroaig 25 Year Old,600.0,70,0.45,857.14 per litre
 Cardhu 12 Year Old,600.0,75,0.4,800 per litre
 Laphroaig 1991,600.0,70,0.53,857.14 per litre
 Glenfarclas 15 Year Old,600.0,75,0.46,800 per litre
 Glenfarclas 15 Year Old,600.0,75,0.46,800 per litre
 Glenfarclas 15 Year Old,600.0,75,0.46,800 per litre
 Macallan 18 Year Old,600.0,70,0.43,857.14 per litre
 Glenfarclas 15 Year Old,600.0,75,0.46,800 per litre
 SMWS 71.8 (Glenburgie),600.0,70,0.59,857.14 per litre
 Highland Park 1978,600.0,75,0.43,800 per litre
 Glen Grant 1984,600.0,75,0.58,800 per litre
 Ardbeg Twenty Something,600.0,70,0.46,857.14 per litre
 Bowmore 10 Year Old,600.0,75,0.4,800 per litre
 Glendronach 8 Year Old,600.0,75,0.4,800 per litre
 Littlemill 1992,600.0,70,0.52,857.14 per litre
 Littlemill 1991,600.0,70,0.51,857.14 per litre
 Lochside 1981,600.0,70,0.51,857.14 per litre
 Littlemill 1990,600.0,70,0.5,857.14 per litre
 Littlemill 1992,600.0,70,0.58,857.14 per litre
 Littlemill 1989,600.0,70,0.62,857.14 per litre
 Littlemill 1990,600.0,70,0.54,857.14 per litre
 Littlemill 1990,600.0,70,0.51,857.14 per litre
 Littlemill 1990,600.0,70,0.52,857.14 per litre
 Littlemill 1990,600.0,70,0.55,857.14 per litre
 Littlemill 22 Year Old,600.0,70,0.54,857.14 per litre
 Littlemill 1991,600.0,70,0.53,857.14 per litre
 Littlemill 1989,600.0,70,0.53,857.14 per litre
 Littlemill 1990,600.0,70,0.48,857.14 per litre
 Aberlour-Glenlivet 1965,650.0,75,0.5,866.67 per litre
 Coleburn 1979,650.0,70,0.59,928.57 per litre
 Glencadam 12 Year Old,650.0,75,0.4,866.67 per litre
 Glenesk Maltings 1969,650.0,75,0.6,866.67 per litre
Glenmorangie Cognac Matured,650.0,70,0.43,928.57 per litre
 Lagavulin 1989,650.0,70,0.43,928.57 per litre
 Brechin 1976,650.0,70,0.6,928.57 per litre
 Brechin 1977,650.0,70,0.53,928.57 per litre
 Talisker 25 Year Old,650.0,70,0.58,928.57 per litre
 Hazelwood Reserve (Kininvie) 1990,650.0,70,0.53,928.57 per litre
 Talisker 25 Year Old,650.0,70,0.54,928.57 per litre
 Laphroaig 10 Year Old,650.0,70,0.4,928.57 per litre
 Glenmorangie 10 Year Old,650.0,75,0.43,866.67 per litre
 Knockando 1964,650.0,75,0.4,866.67 per litre
 Aultmore 1974,650.0,70,0.61,928.57 per litre
 SMWS 56.6 (Coleburn),650.0,70,0.6,928.57 per litre
 Aberlour-Glenlivet 1965,650.0,75,0.5,866.67 per litre
 Glenlivet Special Export Reserve,650.0,75,0.43,866.67 per litre
Knockando 1968 Extra Old Reserve,650.0,75,0.43,866.67 per litre
 Longmorn 1973,650.0,70,0.43,928.57 per litre
 Tomatin 36 Year Old,650.0,70,0.46,928.57 per litre
 Macallan Estate Reserve,650.0,70,0.46,928.57 per litre
