ime,cena,kolicina,procent_alkohola,cena_na_enoto
 Dalwhinnie Winter's Frost,49.95,70,0.43,71.36 per litre
 Talisker Select Reserve,49.95,70,0.46,71.36 per litre
 Knockando 2003,49.95,70,0.43,71.36 per litre
 Glenrothes 11 Year Old,49.95,70,0.43,71.36 per litre
 Ben Eideann Ruby Galilean Kosher Whisky,49.95,70,0.4,71.36 per litre
 Ben Eideann Fionain Kosher Whisky,49.95,70,0.4,71.36 per litre
 Tomatin Discovery 2008,49.95,70,0.43,71.36 per litre
 Personalised Highland Special Reserve,49.95,70,0.48,71.36 per litre
Smokehead Rum Rebel,49.95,70,0.46,71.36 per litre
 Dufftown 2009,49.95,70,0.46,71.36 per litre
Craigellachie 13 Year Old,50.45,70,0.46,72.07 per litre
Longmorn The Distiller's Choice,50.45,70,0.4,72.07 per litre
Inchmurrin Madeira Wood Finish,50.95,70,0.46,72.79 per litre
Benriach Peated Quarter Casks,50.95,70,0.46,72.79 per litre
Tomatin Cask Strength Edition,50.95,70,0.57,72.79 per litre
Bruichladdich Islay Barley 2011,50.95,70,0.5,72.79 per litre
 Glenmorangie Quinta Ruban 14 Year Old,50.95,70,0.46,72.79 per litre
Talisker 10 Year Old Dry Bag Gift Set,50.95,70,0.46,72.79 per litre
 Glengoyne 21 Year Old,51.25,20,0.43,25.62 per 10cl
 Tomintoul 15 Year Old,51.75,70,0.4,73.93 per litre
 Benrinnes 15 Year Old,51.95,70,0.43,74.21 per litre
Glenfarclas 105°,51.95,70,0.6,74.21 per litre
Edradour 10 Year Old Glass Pack,51.95,70,0.4,74.21 per litre
 Edradour Ballechin Double Malt,51.95,70,0.46,74.21 per litre
 Kilchoman Machir Bay Gift Pack,51.95,70,0.46,74.21 per litre
Highland Park Spirit of the Bear,51.95,100,0.4,
AnCnoc Peatheart Batch 2,51.95,70,0.46,74.21 per litre
Kilchoman Machir Bay Cask Strength,51.95,70,0.59,74.21 per litre
 Kilchoman UK Small Batch,51.95,70,0.47,74.21 per litre
 Glenfarclas 12 Year Old,52.25,100,0.43,
 Glenallachie 9 Year Old,52.25,70,0.48,74.64 per litre
 Glenturret 10 Year Old Peat Smoked,52.45,70,0.5,74.93 per litre
 Beinn Dubh – The Black,52.95,70,0.43,75.64 per litre
Glen Moray Rhum Agricole Finish Project,52.95,70,0.46,75.64 per litre
 Glen Elgin 2006,52.95,70,0.46,75.64 per litre
Loch Lomond 14 Year Old,52.95,70,0.46,75.64 per litre
Tullibardine 15 Year Old,52.95,70,0.43,75.64 per litre
 Aultmore 9 Years Old,52.95,70,0.48,75.64 per litre
 Glentauchers 2004,53.25,70,0.43,76.07 per litre
 Balvenie 14 Year Old,53.95,70,0.43,77.07 per litre
Oban Little Bay,53.95,70,0.43,77.07 per litre
 Lagavulin 8 Year Old,53.95,70,0.48,77.07 per litre
Macallan 12 Year Old Double Cask,53.95,70,0.4,77.07 per litre
Glenrothes Whisky Maker's Cut,53.95,70,0.49,77.07 per litre
Arran Sherry Cask,53.95,70,0.56,77.07 per litre
 Ardmore 2009,53.95,70,0.46,77.07 per litre
Lagavulin 8 Year Old,53.95,70,0.48,77.07 per litre
 Glengoyne Cask Strength,54.45,70,0.59,77.79 per litre
Smokehead High Voltage,54.75,70,0.58,78.21 per litre
Glenfarclas 15 Year Old,54.95,70,0.46,78.50 per litre
 Glenlivet 15 Year Old,54.95,70,0.4,78.50 per litre
Bowmore 15 Year Old,54.95,70,0.43,78.50 per litre
 Jura Prophecy,54.95,70,0.46,78.50 per litre
 Glenfiddich Malt Master's Edition,54.95,70,0.43,78.50 per litre
Ailsa Bay Sweet Smoke,54.95,70,0.49,78.50 per litre
 Glenallachie 8 Year Old,54.95,70,0.48,78.50 per litre
Highland Park Valfather,54.95,70,0.47,78.50 per litre
 Glentauchers 2005,54.95,70,0.43,78.50 per litre
 Glenmorangie Nectar D'Or,54.95,70,0.46,78.50 per litre
 Aberlour Casg Annamh,54.95,70,0.48,78.50 per litre
House of Lords 12 Year Old,54.95,70,0.4,78.50 per litre
 Linkwood 10 Years Old,54.95,70,0.48,78.50 per litre
 Dailuaine 2008,54.95,70,0.58,78.50 per litre
 Deanston 10 Year Old,54.95,70,0.46,78.50 per litre
 Glen Moray 2008,55.45,70,0.48,79.21 per litre
Glen Scotia 15 Year Old,55.95,70,0.46,79.93 per litre
 Glenallachie 11 Year Old,55.95,70,0.48,79.93 per litre
 Glenallachie 11 Year Old,55.95,70,0.48,79.93 per litre
 Aultmore 2010,55.95,70,0.51,79.93 per litre
 Glengoyne The Legacy Series Chapter Two,55.95,70,0.48,79.93 per litre
Glen Scotia 11 Year Old Sherry Double Cask Finish,55.95,70,0.54,79.93 per litre
Glenallachie 10 Year Old Cask Strength Batch 4,55.95,70,0.56,79.93 per litre
Laphroaig Triple Wood,56.45,70,0.48,80.64 per litre
 Balvenie 12 Year Old,56.95,70,0.48,81.35 per litre
Macallan 12 Year Old Triple Cask Matured,56.95,70,0.4,81.36 per litre
 Glenglassaugh Octaves Classic,56.95,70,0.44,81.36 per litre
 Glenlossie 2006,56.95,70,0.46,81.36 per litre
 Craigellachie 2007,56.95,70,0.48,81.36 per litre
 Mortlach 2007,56.95,70,0.53,81.36 per litre
 Edradour 12 Year Old,54.45,70,0.46,77.79 per litre
 Aberfeldy 15 Year Old,57.75,70,0.43,82.50 per litre
 Bowmore Classic Collection,57.95,60,0.42,96.58 per litre
 Benriach Peated Cask Strength,57.95,70,0.56,82.79 per litre
Speyburn 15 Year Old,57.95,70,0.46,82.79 per litre
 Benromach 2009 Cask Strength,57.95,70,0.59,82.79 per litre
 Edradour 2010,57.95,70,0.46,82.79 per litre
 Edradour 2010,57.95,70,0.46,82.79 per litre
 Dailuaine 16 Year Old,58.95,70,0.43,84.21 per litre
Glencadam 15 Year Old,58.95,70,0.46,84.21 per litre
Jura Seven Wood,58.95,70,0.42,84.21 per litre
 Bladnoch 10 Year Old,58.95,70,0.47,84.21 per litre
 Cu Bocan Creation 1,58.95,70,0.46,84.21 per litre
 Cu Bocan Creation 2,58.95,70,0.46,84.21 per litre
 Port Charlotte 10 Year Old,58.95,70,0.5,84.21 per litre
Spey Fumare Cask Strength Batch 2,58.95,70,0.6,84.21 per litre
Ardbeg Uigeadail,59.95,70,0.54,85.64 per litre
Lagavulin 16 Year Old,59.95,70,0.43,85.64 per litre
 AnCnoc Peter Arkle,59.95,70,0.46,85.64 per litre
Highland Park Valkyrie,59.95,70,0.46,85.64 per litre
Glenglassaugh Peated Port Wood Finish,59.95,70,0.46,85.64 per litre
Highland Park Valknut,59.95,70,0.47,85.64 per litre
 Croftengea 2005,59.95,70,0.5,85.64 per litre
 Glenallachie 15 Year Old,56.45,70,0.46,80.64 per litre
Ballantine's Glentauchers 15 Years Old,59.95,70,0.4,85.64 per litre
 Ardmore 2009,59.95,70,0.59,85.64 per litre
 Peat's Beast Batch Strength,59.95,70,0.54,85.64 per litre
 Speyside 10 Year Old,59.95,70,0.48,85.64 per litre
 Glenfiddich 14 Year Old,59.95,70,0.43,85.64 per litre
Aberfeldy 16 Year Old,60.75,70,0.4,86.79 per litre
 Benrinnes 2007,60.95,70,0.56,87.07 per litre
 Glenburgie 2004,60.95,70,0.43,87.07 per litre
 Benromach Cask Strength Vintage 2009,60.95,70,0.57,87.07 per litre
 Inchgower 2007,60.95,70,0.56,87.07 per litre
 Glenglassaugh Octaves Peated,61.75,70,0.44,88.21 per litre
 Auchroisk 2007,61.95,70,0.57,88.50 per litre
 Benrinnes 13 Years Old,61.95,70,0.48,88.50 per litre
 Glen Elgin 12 Years Old,61.95,70,0.48,88.50 per litre
 Glen Moray 2006,61.95,70,0.46,88.50 per litre
 Mannochmore 2008,61.95,70,0.55,88.50 per litre
 Tomatin 14 Year Old,62.45,70,0.46,89.21 per litre
Cask Orkney 18 Year Old,62.45,70,0.46,89.21 per litre
 Cragganmore 2007,57.45,70,0.4,82.07 per litre
Smokehead Sherry Bomb,62.75,70,0.48,89.64 per litre
 Glenglassaugh Peated,62.95,70,0.46,89.93 per litre
 Glencadam 2011,62.95,70,0.64,89.93 per litre
Bladnoch 11 Year Old,62.95,70,0.47,89.93 per litre
 Loch Lomond 2010,62.95,70,0.58,89.93 per litre
 Glendronach 15 Year Old Revival,63.95,70,0.46,91.36 per litre
 Teaninich 2007,63.95,70,0.59,91.36 per litre
 Balvenie 14 Year Old,63.95,70,0.48,91.36 per litre
Spey 12 Year Old,63.95,70,0.46,91.36 per litre
 Teaninich 2009,63.95,70,0.6,91.36 per litre
 Glenkinchie 2007,63.95,70,0.43,91.36 per litre
 Auchentoshan Virgin Oak,64.95,70,0.46,92.79 per litre
 Glen Moray 2007,64.95,70,0.59,92.79 per litre
Macallan Quest,64.95,70,0.4,92.79 per litre
 Lagavulin 9 Year Old,64.95,70,0.46,92.79 per litre
 Loch Lomond 2006 Peated,64.95,70,0.57,92.79 per litre
 Ledaig 2011,64.95,70,0.6,92.79 per litre
Highland Park 16 Year Old Twisted Tattoo,64.95,70,0.47,92.79 per litre
 Glengoyne 2005,64.95,70,0.48,92.79 per litre
 Glenlossie 2009,64.95,70,0.56,92.79 per litre
 Miltonduff 2007,64.95,70,0.56,92.79 per litre
 Glenturret 12 Year Old,64.95,70,0.46,92.79 per litre
 Glen Elgin 2010,64.95,70,0.61,92.79 per litre
 Dailuaine 2008,65.25,70,0.48,93.21 per litre
Old Ballantruan 15 Year Old,65.95,70,0.5,94.21 per litre
 Mannochmore 2008,65.95,70,0.56,94.21 per litre
 Benrinnes 2007,65.95,70,0.57,94.21 per litre
 Port Askaig 12 Year Old,65.95,70,0.46,94.21 per litre
 Dailuaine 2008,65.95,70,0.48,94.21 per litre
Port Charlotte 2011 Islay Barley,66.45,70,0.5,94.93 per litre
Dalmore Port Wood Reserve,62.95,70,0.47,89.93 per litre
